cde_Pays;pays;cde_depense;depense_cat;depense_cat_courte;depense;depense_courte;annee;montant
HRV;Croatie;GF1001;10 - Protection sociale;Protection sociale;10.1 - Maladie et invalidite;Maladie et invalidite;2002;0,80778
HRV;Croatie;GF0409;04 - Affaires economiques;Affaires economiques;04.9 - Affaires economiques n.c.a.;Affaires economiques n.c.a.;2002;0,08814
HRV;Croatie;GF0901;09 - Enseignement;Enseignement;09.1 - Enseignement preelementaire et primaire;Enseignement preelementaire et primaire;2002;0,75533
HRV;Croatie;GF0101;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.1 - Fonctionnement des organes executifs et legislatifs, affaires financieres et fiscales, affaires etrangeres;Organes executifs et legislatifs, affaires finan., fiscales et etrangeres;2002;0,31295
HRV;Croatie;GF0401;04 - Affaires economiques;Affaires economiques;04.1 - Tutelle de l economie generale, des echanges et de l emploi;Tutelle de l'economie generale, des echanges et de l'emploi;2002;0,2964
HRV;Croatie;GF1008;10 - Protection sociale;Protection sociale;10.8 - R-D dans le domaine de la protection sociale;RetD dans le domaine de la protection sociale;2002;0,01018
HRV;Croatie;GF0907;09 - Enseignement;Enseignement;09.7 - R-D dans le domaine de l enseignement;RetD dans le domaine de l'enseignement;2002;0,04539
HRV;Croatie;GF1004;10 - Protection sociale;Protection sociale;10.4 - Famille et enfants;Famille et enfants;2002;0,53767
HRV;Croatie;GF0904;09 - Enseignement;Enseignement;09.4 - Enseignement superieur;Enseignement superieur;2002;0,47749
HRV;Croatie;GF0104;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.4 - Recherche fondamentale;Recherche fondamentale;2002;0,04441
HRV;Croatie;GF0302;03 - Ordre et securite publics;Ordre et securite publics;03.2 - Services de protection civile;Services de protection civile;2002;0,10471
HRV;Croatie;GF0908;09 - Enseignement;Enseignement;09.8 - Enseignement n.c.a.;Enseignement n.c.a.;2002;0,06541
HRV;Croatie;GF0601;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.1 - Logements;Logements;2002;0,0651
HRV;Croatie;GF10;10 - Protection sociale;Protection sociale;10 - Protection sociale;Securite sociale et oeuvres sociales;2002;4,83634
HRV;Croatie;GF0905;09 - Enseignement;Enseignement;09.5 - Enseignement non defini par niveau;Enseignement non defini par niveau;2002;0,00787
HRV;Croatie;GF0202;02 - Defense;Defense;02.2 - Defense civile;Defense civile;2002;0,00012
HRV;Croatie;GF04;04 - Affaires economiques;Affaires economiques;04 - Affaires economiques;Affaires economiques;2002;2,25342
HRV;Croatie;GF0105;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.5 - R & D concernant les services generaux des administrations publiques;RetD concernant des services generaux des administrations publiques;2002;0,04242
HRV;Croatie;GF0706;07 - Sante;Sante;07.6 - Sante n.c.a.;Sante n.c.a.;2002;0,12139
HRV;Croatie;GF0906;09 - Enseignement;Enseignement;09.6 - Services annexes a l enseignement;Services annexes a l'enseignement;2002;0,07783
HRV;Croatie;GF07;07 - Sante;Sante;07 - Sante;Sante;2002;1,74447
HRV;Croatie;GF0603;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.3 - Alimentation en eau;Alimentation en eau;2002;0,19356
HRV;Croatie;GF0406;04 - Affaires economiques;Affaires economiques;04.6 - Communications;Communications;2002;0,00288
HRV;Croatie;GF0502;05 - Protection de l environnement;Protection de l environnement;05.2 - Gestion des eaux usees;Gestion des eaux usees;2002;0,0416
HRV;Croatie;GF0408;04 - Affaires economiques;Affaires economiques;04.8 - R-D concernant les affaires economiques;RetD concernant les affaires economiques;2002;0,07598
HRV;Croatie;GF06;06 - Logements et equipements collectifs;Logements et equipements collectifs;06 - Logements et equipements collectifs;Logement et developpement collectif;2002;0,5013
