cde_Pays;pays;cde_depense;depense_cat;depense_cat_courte;depense;depense_courte;annee;montant
LVA;Lettonie;GF0905;09 - Enseignement;Enseignement;09.5 - Enseignement non defini par niveau;Enseignement non defini par niveau;2006;0,08838
LVA;Lettonie;GF0908;09 - Enseignement;Enseignement;09.8 - Enseignement n.c.a.;Enseignement n.c.a.;2006;0,04829
LVA;Lettonie;GF10;10 - Protection sociale;Protection sociale;10 - Protection sociale;Securite sociale et oeuvres sociales;2006;1,51768
LVA;Lettonie;GF0301;03 - Ordre et securite publics;Ordre et securite publics;03.1 - Services de police;Services de police;2006;0,24467
LVA;Lettonie;GF01;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;2006;0,71384
LVA;Lettonie;GF1009;10 - Protection sociale;Protection sociale;10.9 - Protection sociale n.c.a.;Protection sociale n.c.a.;2006;0,06789
LVA;Lettonie;GF0201;02 - Defense;Defense;02.1 - Defense militaire;Defense militaire;2006;0,20204
LVA;Lettonie;GF0603;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.3 - Alimentation en eau;Alimentation en eau;2006;0,03883
LVA;Lettonie;GF0204;02 - Defense;Defense;02.4 - R-D concernant la defense;R et D concernant la defense;2007;0
LVA;Lettonie;GF0903;09 - Enseignement;Enseignement;09.3 - Enseignement postsecondaire non superieur;Enseignement postsecondaire non superieur;2007;0
LVA;Lettonie;GF0305;03 - Ordre et securite publics;Ordre et securite publics;03.5 - R-D concernant l ordre et la securite publics;RetD concernant l'ordre et la securite publics;2007;0
LVA;Lettonie;GF0108;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.8 - Transferts de caractere general entre administrations publiques;Transferts de caractere general entre administrations publiques;2007;0
LVA;Lettonie;GF0203;02 - Defense;Defense;02.3 - Aide militaire a des pays etrangers;Aide militaire a des pays etrangers;2007;0
LVA;Lettonie;GF0304;03 - Ordre et securite publics;Ordre et securite publics;03.4 - Administration penitentiaire;Administration penitentiaire;2007;0,0459
LVA;Lettonie;GF0902;09 - Enseignement;Enseignement;09.2 - Enseignement secondaire;Enseignement secondaire;2007;0,46525
LVA;Lettonie;GF0406;04 - Affaires economiques;Affaires economiques;04.6 - Communications;Communications;2007;0,02255
LVA;Lettonie;GF0907;09 - Enseignement;Enseignement;09.7 - R-D dans le domaine de l enseignement;RetD dans le domaine de l'enseignement;2007;0,00127
LVA;Lettonie;GF0202;02 - Defense;Defense;02.2 - Defense civile;Defense civile;2007;0,01183
LVA;Lettonie;GF0604;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.4 - eclairage public;Eclairage public;2007;0,04679
LVA;Lettonie;GF1002;10 - Protection sociale;Protection sociale;10.2 - Vieillesse;Vieillesse;2007;1,0087
LVA;Lettonie;GF0401;04 - Affaires economiques;Affaires economiques;04.1 - Tutelle de l economie generale, des echanges et de l emploi;Tutelle de l'economie generale, des echanges et de l'emploi;2007;0,07655
LVA;Lettonie;GF0806;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.6 - Loisirs, culture et culte n.c.a.;Loisirs, culture et culte n.c.a.;2007;0,0221
LVA;Lettonie;GF1003;10 - Protection sociale;Protection sociale;10.3 - Survivants;Survivants;2007;0,04195
LVA;Lettonie;GF0103;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.3 - Services generaux;Services generaux;2007;0,10228
LVA;Lettonie;GF1006;10 - Protection sociale;Protection sociale;10.6 - Logement;Logement;2007;0,02262
LVA;Lettonie;GF0906;09 - Enseignement;Enseignement;09.6 - Services annexes a l enseignement;Services annexes a l'enseignement;2007;0,02226
LVA;Lettonie;GF0702;07 - Sante;Sante;07.2 - Services ambulatoires;Services ambulatoires;2007;0,19429
LVA;Lettonie;GF09;09 - Enseignement;Enseignement;09 - Enseignement;Enseignement;2007;1,24871
LVA;Lettonie;GF0408;04 - Affaires economiques;Affaires economiques;04.8 - R-D concernant les affaires economiques;RetD concernant les affaires economiques;2007;0,00272
LVA;Lettonie;GF03;03 - Ordre et securite publics;Ordre et securite publics;03 - Ordre et securite publics;Ordre et securite publics;2007;0,55766
LVA;Lettonie;GF0107;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.7 - Operations concernant la dette publique;Operations concernant la dette publique;2007;0,08973
LVA;Lettonie;GF1004;10 - Protection sociale;Protection sociale;10.4 - Famille et enfants;Famille et enfants;2007;0,20209
LVA;Lettonie;GF0901;09 - Enseignement;Enseignement;09.1 - Enseignement preelementaire et primaire;Enseignement preelementaire et primaire;2007;0,37247
LVA;Lettonie;GF0409;04 - Affaires economiques;Affaires economiques;04.9 - Affaires economiques n.c.a.;Affaires economiques n.c.a.;2007;0,07297
LVA;Lettonie;GF0802;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.2 - Services culturels;Services culturels;2007;0,24102
LVA;Lettonie;GF0705;07 - Sante;Sante;07.5 - R-D dans le domaine de la sante;RetD dans le domaine de la sante;2007;0,00022
LVA;Lettonie;GF0601;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.1 - Logements;Logements;2007;0,0762
LVA;Lettonie;GF0706;07 - Sante;Sante;07.6 - Sante n.c.a.;Sante n.c.a.;2007;0,04322
LVA;Lettonie;GF0405;04 - Affaires economiques;Affaires economiques;04.5 - Transports;Transports;2007;0,78216
LVA;Lettonie;GF1005;10 - Protection sociale;Protection sociale;10.5 - Chomage;Chomage;2007;0,06726
LVA;Lettonie;GF0303;03 - Ordre et securite publics;Ordre et securite publics;03.3 - Tribunaux;Tribunaux;2007;0,09199
LVA;Lettonie;GF0403;04 - Affaires economiques;Affaires economiques;04.3 - Combustibles et energie;Combustibles et energie;2007;0,0724
LVA;Lettonie;GF0205;02 - Defense;Defense;02.5 - Defense n.c.a.;Defense n.c.a.;2007;0,02427
LVA;Lettonie;GF0803;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.3 - Services de radiodiffusion, de television et d edition;Services de radiodiffusion, de television et d'edition;2007;0,0347
LVA;Lettonie;GF0503;05 - Protection de l environnement;Protection de l environnement;05.3 - Lutte contre la pollution;Lutte contre la pollution;2007;0,0462
LVA;Lettonie;GF0704;07 - Sante;Sante;07.4 - Services de sante publique;Services de sante publique;2007;0,03052
LVA;Lettonie;GF0404;04 - Affaires economiques;Affaires economiques;04.4 - Industries extractives et manufacturieres, construction;Industries extractives et manufacturieres, construction;2007;0,01007
LVA;Lettonie;GF0407;04 - Affaires economiques;Affaires economiques;04.7 - Autres branches d activite;Autres branches d'activite;2007;0,00746
LVA;Lettonie;GF0605;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.5 - R-D dans le domaine du logement et des equipements collectifs;RetD dans le domaine du logement et des equipements collectifs;2007;0,0012
LVA;Lettonie;GF1001;10 - Protection sociale;Protection sociale;10.1 - Maladie et invalidite;Maladie et invalidite;2007;0,31078
LVA;Lettonie;GF0701;07 - Sante;Sante;07.1 - Produits, appareils et materiels medicaux;Produits, appareils et materiels medicaux;2007;0,08733
LVA;Lettonie;GF05;05 - Protection de l environnement;Protection de l environnement;05 - Protection de l environnement;Protection de l'environnement;2007;0,19843
LVA;Lettonie;GF08;08 - Loisirs, culture et culte;Loisirs, culture et culte;08 - Loisirs, culture et culte;Loisirs, culture et cultes;2007;0,38178
LVA;Lettonie;GF0602;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.2 - equipements collectifs;Equipements collectifs;2007;0,0794
LVA;Lettonie;GF0102;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.2 - Aide economique exterieure;Aide economique exterieure;2007;0,00036
LVA;Lettonie;GF0506;05 - Protection de l environnement;Protection de l environnement;05.6 - Protection de l environnement n.c.a.;Protection de l'environnement n.c.a.;2007;0,01935
LVA;Lettonie;GF0402;04 - Affaires economiques;Affaires economiques;04.2 - Agriculture, sylviculture, peche et chasse;Agriculture, sylviculture, peche et chasse;2007;0,20151
LVA;Lettonie;GF0106;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.6 - Services generaux des administrations publiques n.c.a.;Services generaux des administrations publiques n.c.a.;2007;0,0054
LVA;Lettonie;GF0504;05 - Protection de l environnement;Protection de l environnement;05.4 - Preservation de la diversite biologique et protection de la nature;Preservation de la diversite biologique et protection de la nature;2007;0,01952
LVA;Lettonie;GF0101;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.1 - Fonctionnement des organes executifs et legislatifs, affaires financieres et fiscales, affaires etrangeres;Organes executifs et legislatifs, affaires finan., fiscales et etrangeres;2007;0,61366
LVA;Lettonie;GF02;02 - Defense;Defense;02 - Defense;Defense nationale;2007;0,31808
LVA;Lettonie;GF07;07 - Sante;Sante;07 - Sante;Sante;2007;0,91072
LVA;Lettonie;GF0804;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.4 - Culte et autres services communautaires;Culte et autres services communautaires;2007;0,0007
LVA;Lettonie;GF0105;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.5 - R & D concernant les services generaux des administrations publiques;RetD concernant des services generaux des administrations publiques;2007;0,01549
LVA;Lettonie;GF0502;05 - Protection de l environnement;Protection de l environnement;05.2 - Gestion des eaux usees;Gestion des eaux usees;2007;0,08304
LVA;Lettonie;GF0805;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.5 - R-D dans le domaine des loisirs, de la culture et du culte;RetD dans le domaine des loisirs, de la culture et du culte;2007;0,00144
LVA;Lettonie;GF0703;07 - Sante;Sante;07.3 - Services hospitaliers;Services hospitaliers;2007;0,55514
LVA;Lettonie;GF0606;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.6 - Logement et equipements collectifs n.c.a.;Logement et equipements collectifs n.c.a.;2007;0,02582
LVA;Lettonie;GF0801;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.1 - Services recreatifs et sportifs;Services recreatifs et sportifs;2007;0,08182
LVA;Lettonie;GF1008;10 - Protection sociale;Protection sociale;10.8 - R-D dans le domaine de la protection sociale;RetD dans le domaine de la protection sociale;2007;0,00024
LVA;Lettonie;GF1007;10 - Protection sociale;Protection sociale;10.7 - Exclusion sociale n.c.a.;Exclusion sociale n.c.a.;2007;0,05946
LVA;Lettonie;GF0306;03 - Ordre et securite publics;Ordre et securite publics;03.6 - Ordre et securite publics n.c.a.;Ordre et securite publics n.c.a.;2007;0,03943
LVA;Lettonie;GF0501;05 - Protection de l environnement;Protection de l environnement;05.1 - Gestion des dechets;Gestion des dechets;2007;0,03015
LVA;Lettonie;GF0505;05 - Protection de l environnement;Protection de l environnement;05.5 - R-D dans le domaine de la protection de l environnement;RetD dans le domaine de la protection de l'environnement;2007;0,00018
LVA;Lettonie;GF06;06 - Logements et equipements collectifs;Logements et equipements collectifs;06 - Logements et equipements collectifs;Logement et developpement collectif;2007;0,27589
LVA;Lettonie;GF04;04 - Affaires economiques;Affaires economiques;04 - Affaires economiques;Affaires economiques;2007;1,2484
LVA;Lettonie;GF0302;03 - Ordre et securite publics;Ordre et securite publics;03.2 - Services de protection civile;Services de protection civile;2007;0,04573
LVA;Lettonie;GF0904;09 - Enseignement;Enseignement;09.4 - Enseignement superieur;Enseignement superieur;2007;0,21684
LVA;Lettonie;GF0104;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.4 - Recherche fondamentale;Recherche fondamentale;2007;0,0799
LVA;Lettonie;GF0905;09 - Enseignement;Enseignement;09.5 - Enseignement non defini par niveau;Enseignement non defini par niveau;2007;0,11037
LVA;Lettonie;GF0908;09 - Enseignement;Enseignement;09.8 - Enseignement n.c.a.;Enseignement n.c.a.;2007;0,06026
LVA;Lettonie;GF10;10 - Protection sociale;Protection sociale;10 - Protection sociale;Securite sociale et oeuvres sociales;2007;1,79499
LVA;Lettonie;GF0301;03 - Ordre et securite publics;Ordre et securite publics;03.1 - Services de police;Services de police;2007;0,33461
LVA;Lettonie;GF01;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;2007;0,90682
LVA;Lettonie;GF1009;10 - Protection sociale;Protection sociale;10.9 - Protection sociale n.c.a.;Protection sociale n.c.a.;2007;0,0819
LVA;Lettonie;GF0201;02 - Defense;Defense;02.1 - Defense militaire;Defense militaire;2007;0,28198
LVA;Lettonie;GF0603;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.3 - Alimentation en eau;Alimentation en eau;2007;0,04649
LVA;Lettonie;GF0305;03 - Ordre et securite publics;Ordre et securite publics;03.5 - R-D concernant l ordre et la securite publics;RetD concernant l'ordre et la securite publics;2008;0
LVA;Lettonie;GF0108;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.8 - Transferts de caractere general entre administrations publiques;Transferts de caractere general entre administrations publiques;2008;0
LVA;Lettonie;GF0102;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.2 - Aide economique exterieure;Aide economique exterieure;2008;0
LVA;Lettonie;GF0203;02 - Defense;Defense;02.3 - Aide militaire a des pays etrangers;Aide militaire a des pays etrangers;2008;0
LVA;Lettonie;GF0205;02 - Defense;Defense;02.5 - Defense n.c.a.;Defense n.c.a.;2008;0,02149
LVA;Lettonie;GF0803;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.3 - Services de radiodiffusion, de television et d edition;Services de radiodiffusion, de television et d'edition;2008;0,03949
LVA;Lettonie;GF0503;05 - Protection de l environnement;Protection de l environnement;05.3 - Lutte contre la pollution;Lutte contre la pollution;2008;0,04179
LVA;Lettonie;GF0704;07 - Sante;Sante;07.4 - Services de sante publique;Services de sante publique;2008;0,03169
LVA;Lettonie;GF0404;04 - Affaires economiques;Affaires economiques;04.4 - Industries extractives et manufacturieres, construction;Industries extractives et manufacturieres, construction;2008;0,01477
LVA;Lettonie;GF0407;04 - Affaires economiques;Affaires economiques;04.7 - Autres branches d activite;Autres branches d'activite;2008;0,00812
LVA;Lettonie;GF0605;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.5 - R-D dans le domaine du logement et des equipements collectifs;RetD dans le domaine du logement et des equipements collectifs;2008;0,00108
LVA;Lettonie;GF1001;10 - Protection sociale;Protection sociale;10.1 - Maladie et invalidite;Maladie et invalidite;2008;0,45058
LVA;Lettonie;GF0701;07 - Sante;Sante;07.1 - Produits, appareils et materiels medicaux;Produits, appareils et materiels medicaux;2008;0,10619
LVA;Lettonie;GF05;05 - Protection de l environnement;Protection de l environnement;05 - Protection de l environnement;Protection de l'environnement;2008;0,20145
LVA;Lettonie;GF08;08 - Loisirs, culture et culte;Loisirs, culture et culte;08 - Loisirs, culture et culte;Loisirs, culture et cultes;2008;0,44302
LVA;Lettonie;GF0602;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.2 - equipements collectifs;Equipements collectifs;2008;0,08581
LVA;Lettonie;GF0506;05 - Protection de l environnement;Protection de l environnement;05.6 - Protection de l environnement n.c.a.;Protection de l'environnement n.c.a.;2008;0,01886
LVA;Lettonie;GF0402;04 - Affaires economiques;Affaires economiques;04.2 - Agriculture, sylviculture, peche et chasse;Agriculture, sylviculture, peche et chasse;2008;0,43083
LVA;Lettonie;GF0106;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.6 - Services generaux des administrations publiques n.c.a.;Services generaux des administrations publiques n.c.a.;2008;0,00805
LVA;Lettonie;GF0504;05 - Protection de l environnement;Protection de l environnement;05.4 - Preservation de la diversite biologique et protection de la nature;Preservation de la diversite biologique et protection de la nature;2008;0,01961
LVA;Lettonie;GF0101;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.1 - Fonctionnement des organes executifs et legislatifs, affaires financieres et fiscales, affaires etrangeres;Organes executifs et legislatifs, affaires finan., fiscales et etrangeres;2008;0,63984
LVA;Lettonie;GF02;02 - Defense;Defense;02 - Defense;Defense nationale;2008;0,35747
LVA;Lettonie;GF07;07 - Sante;Sante;07 - Sante;Sante;2008;1,0552
LVA;Lettonie;GF0804;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.4 - Culte et autres services communautaires;Culte et autres services communautaires;2008;0,00075
LVA;Lettonie;GF0105;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.5 - R & D concernant les services generaux des administrations publiques;RetD concernant des services generaux des administrations publiques;2008;0,01882
LVA;Lettonie;GF0502;05 - Protection de l environnement;Protection de l environnement;05.2 - Gestion des eaux usees;Gestion des eaux usees;2008;0,08676
LVA;Lettonie;GF0805;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.5 - R-D dans le domaine des loisirs, de la culture et du culte;RetD dans le domaine des loisirs, de la culture et du culte;2008;0,0012
LVA;Lettonie;GF0703;07 - Sante;Sante;07.3 - Services hospitaliers;Services hospitaliers;2008;0,6315
LVA;Lettonie;GF0606;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.6 - Logement et equipements collectifs n.c.a.;Logement et equipements collectifs n.c.a.;2008;0,02676
LVA;Lettonie;GF0801;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.1 - Services recreatifs et sportifs;Services recreatifs et sportifs;2008;0,09509
LVA;Lettonie;GF1008;10 - Protection sociale;Protection sociale;10.8 - R-D dans le domaine de la protection sociale;RetD dans le domaine de la protection sociale;2008;0,00001
LVA;Lettonie;GF1007;10 - Protection sociale;Protection sociale;10.7 - Exclusion sociale n.c.a.;Exclusion sociale n.c.a.;2008;0,07495
LVA;Lettonie;GF0306;03 - Ordre et securite publics;Ordre et securite publics;03.6 - Ordre et securite publics n.c.a.;Ordre et securite publics n.c.a.;2008;0,04104
LVA;Lettonie;GF0501;05 - Protection de l environnement;Protection de l environnement;05.1 - Gestion des dechets;Gestion des dechets;2008;0,03414
LVA;Lettonie;GF0505;05 - Protection de l environnement;Protection de l environnement;05.5 - R-D dans le domaine de la protection de l environnement;RetD dans le domaine de la protection de l'environnement;2008;0,00029
LVA;Lettonie;GF06;06 - Logements et equipements collectifs;Logements et equipements collectifs;06 - Logements et equipements collectifs;Logement et developpement collectif;2008;0,29294
LVA;Lettonie;GF04;04 - Affaires economiques;Affaires economiques;04 - Affaires economiques;Affaires economiques;2008;1,82119
LVA;Lettonie;GF0302;03 - Ordre et securite publics;Ordre et securite publics;03.2 - Services de protection civile;Services de protection civile;2008;0,04785
LVA;Lettonie;GF0904;09 - Enseignement;Enseignement;09.4 - Enseignement superieur;Enseignement superieur;2008;0,26947
LVA;Lettonie;GF0104;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.4 - Recherche fondamentale;Recherche fondamentale;2008;0,06269
LVA;Lettonie;GF0905;09 - Enseignement;Enseignement;09.5 - Enseignement non defini par niveau;Enseignement non defini par niveau;2008;0,13733
LVA;Lettonie;GF0908;09 - Enseignement;Enseignement;09.8 - Enseignement n.c.a.;Enseignement n.c.a.;2008;0,09547
LVA;Lettonie;GF10;10 - Protection sociale;Protection sociale;10 - Protection sociale;Securite sociale et oeuvres sociales;2008;2,20344
LVA;Lettonie;GF0301;03 - Ordre et securite publics;Ordre et securite publics;03.1 - Services de police;Services de police;2008;0,28854
LVA;Lettonie;GF01;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;2008;0,94347
LVA;Lettonie;GF1009;10 - Protection sociale;Protection sociale;10.9 - Protection sociale n.c.a.;Protection sociale n.c.a.;2008;0,08128
LVA;Lettonie;GF0201;02 - Defense;Defense;02.1 - Defense militaire;Defense militaire;2008;0,32304
LVA;Lettonie;GF0603;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.3 - Alimentation en eau;Alimentation en eau;2008;0,05043
LVA;Lettonie;GF0204;02 - Defense;Defense;02.4 - R-D concernant la defense;R et D concernant la defense;2008;0
LVA;Lettonie;GF0903;09 - Enseignement;Enseignement;09.3 - Enseignement postsecondaire non superieur;Enseignement postsecondaire non superieur;2008;0
LVA;Lettonie;GF0304;03 - Ordre et securite publics;Ordre et securite publics;03.4 - Administration penitentiaire;Administration penitentiaire;2008;0,05228
LVA;Lettonie;GF0902;09 - Enseignement;Enseignement;09.2 - Enseignement secondaire;Enseignement secondaire;2008;0,47796
LVA;Lettonie;GF0406;04 - Affaires economiques;Affaires economiques;04.6 - Communications;Communications;2008;0,02165
LVA;Lettonie;GF0907;09 - Enseignement;Enseignement;09.7 - R-D dans le domaine de l enseignement;RetD dans le domaine de l'enseignement;2008;0,00092
LVA;Lettonie;GF0202;02 - Defense;Defense;02.2 - Defense civile;Defense civile;2008;0,01294
LVA;Lettonie;GF0604;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.4 - eclairage public;Eclairage public;2008;0,04693
LVA;Lettonie;GF1002;10 - Protection sociale;Protection sociale;10.2 - Vieillesse;Vieillesse;2008;1,2387
LVA;Lettonie;GF0401;04 - Affaires economiques;Affaires economiques;04.1 - Tutelle de l economie generale, des echanges et de l emploi;Tutelle de l'economie generale, des echanges et de l'emploi;2008;0,16766
LVA;Lettonie;GF0806;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.6 - Loisirs, culture et culte n.c.a.;Loisirs, culture et culte n.c.a.;2008;0,02835
LVA;Lettonie;GF1003;10 - Protection sociale;Protection sociale;10.3 - Survivants;Survivants;2008;0,05094
LVA;Lettonie;GF0103;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.3 - Services generaux;Services generaux;2008;0,07216
LVA;Lettonie;GF1006;10 - Protection sociale;Protection sociale;10.6 - Logement;Logement;2008;0,03187
LVA;Lettonie;GF0906;09 - Enseignement;Enseignement;09.6 - Services annexes a l enseignement;Services annexes a l'enseignement;2008;0,02713
LVA;Lettonie;GF0702;07 - Sante;Sante;07.2 - Services ambulatoires;Services ambulatoires;2008;0,23176
LVA;Lettonie;GF09;09 - Enseignement;Enseignement;09 - Enseignement;Enseignement;2008;1,5434
LVA;Lettonie;GF0408;04 - Affaires economiques;Affaires economiques;04.8 - R-D concernant les affaires economiques;RetD concernant les affaires economiques;2008;0,00339
LVA;Lettonie;GF03;03 - Ordre et securite publics;Ordre et securite publics;03 - Ordre et securite publics;Ordre et securite publics;2008;0,52954
LVA;Lettonie;GF0107;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.7 - Operations concernant la dette publique;Operations concernant la dette publique;2008;0,14192
LVA;Lettonie;GF1004;10 - Protection sociale;Protection sociale;10.4 - Famille et enfants;Famille et enfants;2008;0,18928
LVA;Lettonie;GF0901;09 - Enseignement;Enseignement;09.1 - Enseignement preelementaire et primaire;Enseignement preelementaire et primaire;2008;0,53512
LVA;Lettonie;GF0409;04 - Affaires economiques;Affaires economiques;04.9 - Affaires economiques n.c.a.;Affaires economiques n.c.a.;2008;0,07175
LVA;Lettonie;GF0802;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.2 - Services culturels;Services culturels;2008;0,27815
LVA;Lettonie;GF0705;07 - Sante;Sante;07.5 - R-D dans le domaine de la sante;RetD dans le domaine de la sante;2008;0,00024
LVA;Lettonie;GF0601;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.1 - Logements;Logements;2008;0,08196
LVA;Lettonie;GF0706;07 - Sante;Sante;07.6 - Sante n.c.a.;Sante n.c.a.;2008;0,05382
LVA;Lettonie;GF0405;04 - Affaires economiques;Affaires economiques;04.5 - Transports;Transports;2008;1,02219
LVA;Lettonie;GF1005;10 - Protection sociale;Protection sociale;10.5 - Chomage;Chomage;2008;0,08583
LVA;Lettonie;GF0303;03 - Ordre et securite publics;Ordre et securite publics;03.3 - Tribunaux;Tribunaux;2008;0,09983
LVA;Lettonie;GF0403;04 - Affaires economiques;Affaires economiques;04.3 - Combustibles et energie;Combustibles et energie;2008;0,08083
LVA;Lettonie;GF0203;02 - Defense;Defense;02.3 - Aide militaire a des pays etrangers;Aide militaire a des pays etrangers;2009;0
LVA;Lettonie;GF0102;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.2 - Aide economique exterieure;Aide economique exterieure;2009;0
LVA;Lettonie;GF0305;03 - Ordre et securite publics;Ordre et securite publics;03.5 - R-D concernant l ordre et la securite publics;RetD concernant l'ordre et la securite publics;2009;0
LVA;Lettonie;GF0108;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.8 - Transferts de caractere general entre administrations publiques;Transferts de caractere general entre administrations publiques;2009;0
LVA;Lettonie;GF0903;09 - Enseignement;Enseignement;09.3 - Enseignement postsecondaire non superieur;Enseignement postsecondaire non superieur;2009;0
LVA;Lettonie;GF0204;02 - Defense;Defense;02.4 - R-D concernant la defense;R et D concernant la defense;2009;0
LVA;Lettonie;GF0603;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.3 - Alimentation en eau;Alimentation en eau;2009;0,03564
LVA;Lettonie;GF0201;02 - Defense;Defense;02.1 - Defense militaire;Defense militaire;2009;0,199
LVA;Lettonie;GF1009;10 - Protection sociale;Protection sociale;10.9 - Protection sociale n.c.a.;Protection sociale n.c.a.;2009;0,05641
LVA;Lettonie;GF01;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;2009;0,94543
LVA;Lettonie;GF0301;03 - Ordre et securite publics;Ordre et securite publics;03.1 - Services de police;Services de police;2009;0,20114
LVA;Lettonie;GF10;10 - Protection sociale;Protection sociale;10 - Protection sociale;Securite sociale et oeuvres sociales;2009;2,63386
LVA;Lettonie;GF0908;09 - Enseignement;Enseignement;09.8 - Enseignement n.c.a.;Enseignement n.c.a.;2009;0,06016
LVA;Lettonie;GF0905;09 - Enseignement;Enseignement;09.5 - Enseignement non defini par niveau;Enseignement non defini par niveau;2009;0,09883
LVA;Lettonie;GF0104;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.4 - Recherche fondamentale;Recherche fondamentale;2009;0,0518
LVA;Lettonie;GF0904;09 - Enseignement;Enseignement;09.4 - Enseignement superieur;Enseignement superieur;2009;0,21835
LVA;Lettonie;GF0302;03 - Ordre et securite publics;Ordre et securite publics;03.2 - Services de protection civile;Services de protection civile;2009;0,0396
LVA;Lettonie;GF04;04 - Affaires economiques;Affaires economiques;04 - Affaires economiques;Affaires economiques;2009;1,71611
LVA;Lettonie;GF0505;05 - Protection de l environnement;Protection de l environnement;05.5 - R-D dans le domaine de la protection de l environnement;RetD dans le domaine de la protection de l'environnement;2009;0,00014
LVA;Lettonie;GF06;06 - Logements et equipements collectifs;Logements et equipements collectifs;06 - Logements et equipements collectifs;Logement et developpement collectif;2009;0,19967
LVA;Lettonie;GF0501;05 - Protection de l environnement;Protection de l environnement;05.1 - Gestion des dechets;Gestion des dechets;2009;0,07704
LVA;Lettonie;GF0306;03 - Ordre et securite publics;Ordre et securite publics;03.6 - Ordre et securite publics n.c.a.;Ordre et securite publics n.c.a.;2009;0,0333
LVA;Lettonie;GF1008;10 - Protection sociale;Protection sociale;10.8 - R-D dans le domaine de la protection sociale;RetD dans le domaine de la protection sociale;2009;0,00012
LVA;Lettonie;GF1007;10 - Protection sociale;Protection sociale;10.7 - Exclusion sociale n.c.a.;Exclusion sociale n.c.a.;2009;0,07211
LVA;Lettonie;GF0801;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.1 - Services recreatifs et sportifs;Services recreatifs et sportifs;2009;0,05048
LVA;Lettonie;GF0606;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.6 - Logement et equipements collectifs n.c.a.;Logement et equipements collectifs n.c.a.;2009;0,01958
LVA;Lettonie;GF0805;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.5 - R-D dans le domaine des loisirs, de la culture et du culte;RetD dans le domaine des loisirs, de la culture et du culte;2009;0,00092
LVA;Lettonie;GF0703;07 - Sante;Sante;07.3 - Services hospitaliers;Services hospitaliers;2009;0,53816
LVA;Lettonie;GF0502;05 - Protection de l environnement;Protection de l environnement;05.2 - Gestion des eaux usees;Gestion des eaux usees;2009;0,04884
