annee;cde_transaction;transaction;cde_pays;pays;cde_devise;devise;montant
2002;D51A;Impots sur le revenu des personnes physiques ou des menages non compris les gains de detention;AUT;Autriche;EUR;Euro;23314,4
2002;D2;Impots sur la production et les importations;AUT;Autriche;EUR;Euro;33658,83
2002;D613CE;Cotisations sociales effectives obligatoires a la charge des salaries;AUT;Autriche;EUR;Euro;13125,45
2002;D2121;Droits sur les importations;AUT;Autriche;EUR;Euro;-1,47
2002;D214L;Autres impots sur les produits n.c.a.;AUT;Autriche;EUR;Euro;3,74
2002;D59F;Autres impots courants n.c.a.;AUT;Autriche;EUR;Euro;1765,49
2002;D2122;Impots sur les importations a l'exclusion de la TVA et des droits sur les importations;AUT;Autriche;EUR;Euro;22,92
2002;D613CS;Cotisations sociales effectives obligatoires a la charge des travailleurs independants;AUT;Autriche;EUR;Euro;1562,12
2002;D61;Cotisations sociales nettes;AUT;Autriche;EUR;Euro;34955,57
2002;D212;Impots et droits sur les importations, a l'exclusion de la TVA;AUT;Autriche;EUR;Euro;21,46
2002;D214G;Taxes sur les primes d'assurance;AUT;Autriche;EUR;Euro;874,34
2002;D613C;Cotisations sociales effectives obligatoires a la charge des menages;AUT;Autriche;EUR;Euro;17083,2
2002;D613;Cotisations sociales effectives a la charge des menages;AUT;Autriche;EUR;Euro;17296,74
2002;D214H;Autres taxes sur des services determines;AUT;Autriche;EUR;Euro;315,34
2002;D211;Taxes du type TVA;AUT;Autriche;EUR;Euro;17934,47
2002;D611;Cotisations sociales effectives a la charge des employeurs;AUT;Autriche;EUR;Euro;15032,69
2002;D51;Impots sur le revenu;AUT;Autriche;EUR;Euro;29198,32
2002;D214A;Droits d'accise et impots de consommation;AUT;Autriche;EUR;Euro;5904,01
2002;D51B;Impots sur le revenu ou les benefices des societes non compris les gains de detention;AUT;Autriche;EUR;Euro;5246,72
2002;ODA;Total des recettes fiscales;AUT;Autriche;EUR;Euro;64770,72
2002;D214C;Impots sur les operations financieres et les operations en capital;AUT;Autriche;EUR;Euro;501,93
2002;D214;Impots sur les produits a l'exclusion de TVA et des impots sur les importations et les exportations;AUT;Autriche;EUR;Euro;8300,99
2002;ODD;Charges fiscales correspondant au produit total des impots et cotisations sociales obligatoires apres deduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;96886,6
2002;D29C;Impots sur la masse salariale ou les effectifs employes;AUT;Autriche;EUR;Euro;5500,27
2002;D61N;Cotisations sociales effectives des employeurs et des menages;AUT;Autriche;EUR;Euro;32329,43
2002;D91A;Impots sur les transferts en capital;AUT;Autriche;EUR;Euro;148,08
2002;D2_D5_D91_D611_D613;Total des impots et des cotisations sociales;AUT;Autriche;EUR;Euro;97100,15
2002;D59;Autres impots courants;AUT;Autriche;EUR;Euro;1765,49
2002;D611C;Cotisations sociales effectives obligatoires a la charge des employeurs;AUT;Autriche;EUR;Euro;15032,69
2002;D214E;Taxes sur les spectacles et divertissements;AUT;Autriche;EUR;Euro;77,33
2002;D214F;Taxes sur les loteries, les jeux et les paris;AUT;Autriche;EUR;Euro;487,32
2003;D2122C;Droits d'accise;AUT;Autriche;EUR;Euro;0
2003;D6141;Supplements de cotisations de pension a la charge des menages;AUT;Autriche;EUR;Euro;0
2003;D995E;Cotisations sociales effectives a la charge des employeurs dues non recouvrables;AUT;Autriche;EUR;Euro;0
