annee;cde_pays;pays;cde_mesure;mesure;cde_unite;unite;cde_domaine;domaine;valeur_mesuree
2017;BEL;Belgique;Mortalite routiere;Mortalite routiere;DT_10P5HB;Deces pour 100 000 d'habitants;HSL_10;Securite;5,353771789
2017;BEL;Belgique;Homicides;Homicides;DT_10P5HB;Deces pour 100 000 d'habitants;HSL_10;Securite;1
2017;BEL;Belgique;Surcharge financiere liee au coa»t du logement;Surcharge financiere liee au coa»t du logement;PT_POP;Pourcentage de la population;HSL_3;Logement;18,56974661
2017;BEL;Belgique;Exposition a  la pollution de l air;Exposition a  la pollution de l air;PT_POP;Pourcentage de la population;HSL_9;Qualite environnementale;99,962593
2017;BEL;Belgique;Exposition a  des temperatures extraªmes;Exposition a  des temperatures extraªmes;PT_POP;Pourcentage de la population;HSL_9;Qualite environnementale;0
2017;BEL;Belgique;Incapacite a  maintenir le logement a  bonne temperature;Incapacite a  maintenir le logement a  bonne temperature;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_3;Logement;5,8
2017;BEL;Belgique;Difficultes a  joindre les deuxÂ bouts;Difficultes a  joindre les deuxÂ bouts;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_1;Revenu et patrimoine;20,9
2017;BEL;Belgique;Etat de sante percu comme bon;Etat de sante percu comme bon;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_5;Sante;74,5
2017;BEL;Belgique;Etat de sante percu comme mauvais;Etat de sante percu comme mauvais;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_5;Sante;8,6
2017;BEL;Belgique;Bilan emotionnel negatif;Bilan emotionnel negatif;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_11;Bien-aªtre subjectif;14,45750913
2017;BEL;Belgique;Douleur physique;Douleur physique;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_11;Bien-aªtre subjectif;33
2017;BEL;Belgique;Sentiment d insecurite la nuit;Sentiment d insecurite la nuit;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_10;Securite;32
2017;BEL;Belgique;Sentiment de securite la nuit;Sentiment de securite la nuit;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_10;Securite;65,66666667
2017;BEL;Belgique;Soutien social;Soutien social;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_7;Liens sociaux;90,69981443
2017;BEL;Belgique;Manque de soutien social;Manque de soutien social;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_7;Liens sociaux;8,764922919
2017;BEL;Belgique;Salaries a  temps plein dont la remuneration est inferieure a  deuxÂ tiers du salaire brut median;Salaries a  temps plein dont la remuneration est inferieure a  deuxÂ tiers du salaire brut median;PT_SAL_FT;Pourcentage de salaries a  plein temps;HSL_2;Travail et qualite de l'emploi;5,5
2017;BEL;Belgique;Ecart de remuneration entre les genres;Ecart de remuneration entre les genres;PT_WG_SAL_M_D;Pourcentage du salaire des hommes dans le maªme decile;HSL_2;Travail et qualite de l'emploi;4,190296156
2017;BEL;Belgique;Decile superieur de la remuneration des salaries a  temps plein;Decile superieur de la remuneration des salaries a  temps plein;FCTR_D1_EARN;Facteur de decile des gains les plus bas;HSL_2;Travail et qualite de l'emploi;2,452012384
2017;BEL;Belgique;Jeunes sans emploi et sortis du systeme educatif;Jeunes sans emploi et sortis du systeme educatif;PT_POP_Y15T24;Pourcentage de la population a¢gee de 15 a  24 ans;HSL_2;Travail et qualite de l'emploi;9,7904682
2017;BEL;Belgique;Taux de chomage de longue duree;Taux de chomage de longue duree;PT_LF;Pourcentage des depenses de sante;HSL_2;Travail et qualite de l'emploi;3,476753448
2017;BEL;Belgique;Horaires de travail lourds;Horaires de travail lourds;PT_SAL;Pourcentage de salaries;HSL_2;Travail et qualite de l'emploi;4,86
2017;BEL;Belgique;Taux d emploi;Taux d emploi;PT_POP_Y25T64;Pourcentage de la population a¢gee de 25 a  64 ans;HSL_2;Travail et qualite de l'emploi;71,89
2017;BEL;Belgique;Salaire brut annuel moyen;Salaire brut annuel moyen;USD_PPP;Dollars des E-U, PPA convertis;HSL_2;Travail et qualite de l'emploi;73904,426
2017;BEL;Belgique;Revenu disponible ajuste net des menages et des ISBLSM par habitant;Revenu disponible ajuste net des menages et des ISBLSM par habitant;USD_PPP_PS;Dollars des E-U par personne, PPA convertis;HSL_1;Revenu et patrimoine;42610
2017;BEL;Belgique;Patrimoine net median;Patrimoine net median;USD_HH_PPP;Dollars des E-U par menage, PPA convertis;HSL_1;Revenu et patrimoine;314071
2017;BEL;Belgique;Patrimoine financier liquide equivalent insuffisant pour se maintenir au-dessus du seuil national annuel de pauvrete monetaire relative pendant troisÂ mois;Patrimoine financier liquide equivalent insuffisant pour se maintenir au-dessus du seuil national annuel de pauvrete monetaire relative pendant troisÂ mois;PT_POP;Pourcentage de la population;HSL_1;Revenu et patrimoine;37,76272237
2018;BEL;Belgique;Menages disposant d un acces internet;Menages disposant d un acces internet;PT_HH;Pourcentage de menages;HSL_3;Logement;83,7276
2018;BEL;Belgique;Accessibilite financiere du logement;Accessibilite financiere du logement;PT_B7G_S14;Pourcentage du revenu disponible brut ajuste des menages;HSL_3;Logement;80,08456083
2018;BEL;Belgique;Decile superieur des resultats en comprehension de l ecrit;Decile superieur des resultats en comprehension de l ecrit;FCTR_D1_SCR;Facteur de decile des scores les plus bas;HSL_6;Savoirs et competences;1,769670129
