annee;cde_age;cde_pays;pays;cde_mesure;mesure;cde_sexe;sexe;age;valeur_mesuree
2004;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;17,135
2005;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2779159
2005;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,793
2005;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;803119
2005;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;19,013
2005;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2790486
2005;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;69,797
2005;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;531761
2005;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;13,301
2005;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1334880
2005;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;16,235
2005;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5569645
2005;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,74
2005;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1317589,923
2005;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;16,025
2005;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;641809,9059
2005;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;15,194
2005;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;675740,1008
2005;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;16,902
2006;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2786080
2006;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,652
2006;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;822283
2006;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;19,376
2006;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2798223
2006;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;69,574
2006;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;555316
2006;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;13,807
2006;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1377599
2006;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;16,667
2006;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5584303
2006;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,56
2006;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1303744,918
