cde_operation;operation;cde_depense;depense_cat;depense_cat_courte;depense_courte;depense;annee;montant;cde_pays;pays
OTE;Total des depenses des administrations publiques (*);GF01;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux des administrations publiques;01 - Services generaux des administrations publiques;1995;101,098;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0101;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Organes executifs et legislatifs, affaires finan., fiscales et etrangeres;01.1 - Fonctionnement des organes executifs et legislatifs, affaires financieres et fiscales, affaires etrangeres;1995;22,262;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0102;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Aide economique exterieure;01.2 - Aide economique exterieure;1995;1,398;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0103;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux;01.3 - Services generaux;1995;23,289;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0104;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Recherche fondamentale;01.4 - Recherche fondamentale;1995;9,668;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0105;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;RetD concernant des services generaux des administrations publiques;01.5 - R & D concernant les services generaux des administrations publiques;1995;0,001;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0106;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux des administrations publiques n.c.a.;01.6 - Services generaux des administrations publiques n.c.a.;1995;0,557;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0107;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Operations concernant la dette publique;01.7 - Operations concernant la dette publique;1995;43,924;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0108;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Transferts de caractere general entre administrations publiques;01.8 - Transferts de caractere general entre administrations publiques;1995;0;FRA;France
OTE;Total des depenses des administrations publiques (*);GF02;02 - Defense;Defense;Defense nationale;02 - Defense;1995;29,851;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0201;02 - Defense;Defense;Defense militaire;02.1 - Defense militaire;1995;25,904;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0202;02 - Defense;Defense;Defense civile;02.2 - Defense civile;1995;0,313;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0203;02 - Defense;Defense;Aide militaire a des pays etrangers;02.3 - Aide militaire a des pays etrangers;1995;0,769;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0204;02 - Defense;Defense;R et D concernant la defense;02.4 - R-D concernant la defense;1995;1,845;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0205;02 - Defense;Defense;Defense n.c.a.;02.5 - Defense n.c.a.;1995;1,021;FRA;France
OTE;Total des depenses des administrations publiques (*);GF03;03 - Ordre et securite publics;Ordre et securite publics;Ordre et securite publics;03 - Ordre et securite publics;1995;18,027;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0301;03 - Ordre et securite publics;Ordre et securite publics;Services de police;03.1 - Services de police;1995;11,338;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0302;03 - Ordre et securite publics;Ordre et securite publics;Services de protection civile;03.2 - Services de protection civile;1995;1,644;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0303;03 - Ordre et securite publics;Ordre et securite publics;Tribunaux;03.3 - Tribunaux;1995;3,073;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0304;03 - Ordre et securite publics;Ordre et securite publics;Administration penitentiaire;03.4 - Administration penitentiaire;1995;1,596;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0305;03 - Ordre et securite publics;Ordre et securite publics;RetD concernant l ordre et la securite publics;03.5 - R-D concernant l'ordre et la securite publics;1995;0,003;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0306;03 - Ordre et securite publics;Ordre et securite publics;Ordre et securite publics n.c.a.;03.6 - Ordre et securite publics n.c.a.;1995;0,374;FRA;France
OTE;Total des depenses des administrations publiques (*);GF04;04 - Affaires economiques;Affaires economiques;Affaires economiques;04 - Affaires economiques;1995;77,799;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0401;04 - Affaires economiques;Affaires economiques;Tutelle de l economie generale, des echanges et de l emploi;04.1 - Tutelle de l'economie generale, des echanges et de l'emploi;1995;15,374;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0402;04 - Affaires economiques;Affaires economiques;Agriculture, sylviculture, peche et chasse;04.2 - Agriculture, sylviculture, peche et chasse;1995;6,173;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0403;04 - Affaires economiques;Affaires economiques;Combustibles et energie;04.3 - Combustibles et energie;1995;4,349;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0404;04 - Affaires economiques;Affaires economiques;Industries extractives et manufacturieres, construction;04.4 - Industries extractives et manufacturieres, construction;1995;0,53;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0405;04 - Affaires economiques;Affaires economiques;Transports;04.5 - Transports;1995;35,427;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0406;04 - Affaires economiques;Affaires economiques;Communications;04.6 - Communications;1995;0,366;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0407;04 - Affaires economiques;Affaires economiques;Autres branches d activite;04.7 - Autres branches d'activite;1995;4,527;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0408;04 - Affaires economiques;Affaires economiques;RetD concernant les affaires economiques;04.8 - R-D concernant les affaires economiques;1995;9,986;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0409;04 - Affaires economiques;Affaires economiques;Affaires economiques n.c.a.;04.9 - Affaires economiques n.c.a.;1995;1,068;FRA;France
OTE;Total des depenses des administrations publiques (*);GF05;05 - Protection de l environnement;Protection de l environnement;Protection de l environnement;05 - Protection de l'environnement;1995;6,824;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0501;05 - Protection de l environnement;Protection de l environnement;Gestion des dechets;05.1 - Gestion des dechets;1995;3,014;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0502;05 - Protection de l environnement;Protection de l environnement;Gestion des eaux usees;05.2 - Gestion des eaux usees;1995;1,579;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0503;05 - Protection de l environnement;Protection de l environnement;Lutte contre la pollution;05.3 - Lutte contre la pollution;1995;0,393;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0504;05 - Protection de l environnement;Protection de l environnement;Preservation de la diversite biologique et protection de la nature;05.4 - Preservation de la diversite biologique et protection de la nature;1995;0,449;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0505;05 - Protection de l environnement;Protection de l environnement;RetD dans le domaine de la protection de l environnement;05.5 - R-D dans le domaine de la protection de l'environnement;1995;0,056;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0506;05 - Protection de l environnement;Protection de l environnement;Protection de l environnement n.c.a.;05.6 - Protection de l'environnement n.c.a.;1995;1,333;FRA;France
OTE;Total des depenses des administrations publiques (*);GF06;06 - Logements et equipements collectifs;Logements et equipements collectifs;Logement et developpement collectif;06 - Logements et equipements collectifs;1995;12,848;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0601;06 - Logements et equipements collectifs;Logements et equipements collectifs;Logements;06.1 - Logements;1995;3,458;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0602;06 - Logements et equipements collectifs;Logements et equipements collectifs;equipements collectifs;06.2 - Equipements collectifs;1995;7,442;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0603;06 - Logements et equipements collectifs;Logements et equipements collectifs;Alimentation en eau;06.3 - Alimentation en eau;1995;1,016;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0604;06 - Logements et equipements collectifs;Logements et equipements collectifs;eclairage public;06.4 - Eclairage public;1995;0,569;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0605;06 - Logements et equipements collectifs;Logements et equipements collectifs;RetD dans le domaine du logement et des equipements collectifs;06.5 - R-D dans le domaine du logement et des equipements collectifs;1995;0,007;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0606;06 - Logements et equipements collectifs;Logements et equipements collectifs;Logement et equipements collectifs n.c.a.;06.6 - Logement et equipements collectifs n.c.a.;1995;0,357;FRA;France
OTE;Total des depenses des administrations publiques (*);GF07;07 - Sante;Sante;Sante;07 - Sante;1995;83,748;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0701;07 - Sante;Sante;Produits, appareils et materiels medicaux;07.1 - Produits, appareils et materiels medicaux;1995;10,515;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0702;07 - Sante;Sante;Services ambulatoires;07.2 - Services ambulatoires;1995;28,603;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0703;07 - Sante;Sante;Services hospitaliers;07.3 - Services hospitaliers;1995;40,001;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0704;07 - Sante;Sante;Services de sante publique;07.4 - Services de sante publique;1995;1,218;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0705;07 - Sante;Sante;RetD dans le domaine de la sante;07.5 - R-D dans le domaine de la sante;1995;2,737;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0706;07 - Sante;Sante;Sante n.c.a.;07.6 - Sante n.c.a.;1995;0,677;FRA;France
OTE;Total des depenses des administrations publiques (*);GF08;08 - Loisirs, culture et culte;Loisirs, culture et culte;Loisirs, culture et cultes;08 - Loisirs, culture et culte;1995;13,198;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0801;08 - Loisirs, culture et culte;Loisirs, culture et culte;Services recreatifs et sportifs;08.1 - Services recreatifs et sportifs;1995;3,828;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0802;08 - Loisirs, culture et culte;Loisirs, culture et culte;Services culturels;08.2 - Services culturels;1995;5,558;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0803;08 - Loisirs, culture et culte;Loisirs, culture et culte;Services de radiodiffusion, de television et d edition;08.3 - Services de radiodiffusion, de television et d'edition;1995;3,709;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0804;08 - Loisirs, culture et culte;Loisirs, culture et culte;Culte et autres services communautaires;08.4 - Culte et autres services communautaires;1995;0,103;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0805;08 - Loisirs, culture et culte;Loisirs, culture et culte;RetD dans le domaine des loisirs, de la culture et du culte;08.5 - R-D dans le domaine des loisirs, de la culture et du culte;1995;0;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0806;08 - Loisirs, culture et culte;Loisirs, culture et culte;Loisirs, culture et culte n.c.a.;08.6 - Loisirs, culture et culte n.c.a.;1995;0;FRA;France
OTE;Total des depenses des administrations publiques (*);GF09;09 - Enseignement;Enseignement;Enseignement;09 - Enseignement;1995;69,915;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0901;09 - Enseignement;Enseignement;Enseignement preelementaire et primaire;09.1 - Enseignement preelementaire et primaire;1995;18,147;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0902;09 - Enseignement;Enseignement;Enseignement secondaire;09.2 - Enseignement secondaire;1995;32,964;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0903;09 - Enseignement;Enseignement;Enseignement postsecondaire non superieur;09.3 - Enseignement postsecondaire non superieur;1995;0,356;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0904;09 - Enseignement;Enseignement;Enseignement superieur;09.4 - Enseignement superieur;1995;6,803;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0905;09 - Enseignement;Enseignement;Enseignement non defini par niveau;09.5 - Enseignement non defini par niveau;1995;3,603;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0906;09 - Enseignement;Enseignement;Services annexes a l enseignement;09.6 - Services annexes a l'enseignement;1995;6,968;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0907;09 - Enseignement;Enseignement;RetD dans le domaine de l enseignement;09.7 - R-D dans le domaine de l'enseignement;1995;0,003;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0908;09 - Enseignement;Enseignement;Enseignement n.c.a.;09.8 - Enseignement n.c.a.;1995;1,071;FRA;France
OTE;Total des depenses des administrations publiques (*);GF10;10 - Protection sociale;Protection sociale;Securite sociale et oeuvres sociales;10 - Protection sociale;1995;267,063;FRA;France
OTE;Total des depenses des administrations publiques (*);GF1001;10 - Protection sociale;Protection sociale;Maladie et invalidite;10.1 - Maladie et invalidite;1995;34,783;FRA;France
OTE;Total des depenses des administrations publiques (*);GF1002;10 - Protection sociale;Protection sociale;Vieillesse;10.2 - Vieillesse;1995;133,101;FRA;France
OTE;Total des depenses des administrations publiques (*);GF1003;10 - Protection sociale;Protection sociale;Survivants;10.3 - Survivants;1995;20,648;FRA;France
OTE;Total des depenses des administrations publiques (*);GF1004;10 - Protection sociale;Protection sociale;Famille et enfants;10.4 - Famille et enfants;1995;33,378;FRA;France
OTE;Total des depenses des administrations publiques (*);GF1005;10 - Protection sociale;Protection sociale;Chomage;10.5 - Chomage;1995;21,799;FRA;France
OTE;Total des depenses des administrations publiques (*);GF1006;10 - Protection sociale;Protection sociale;Logement;10.6 - Logement;1995;9,975;FRA;France
OTE;Total des depenses des administrations publiques (*);GF1007;10 - Protection sociale;Protection sociale;Exclusion sociale n.c.a.;10.7 - Exclusion sociale n.c.a.;1995;11,404;FRA;France
OTE;Total des depenses des administrations publiques (*);GF1008;10 - Protection sociale;Protection sociale;RetD dans le domaine de la protection sociale;10.8 - R-D dans le domaine de la protection sociale;1995;0;FRA;France
OTE;Total des depenses des administrations publiques (*);GF1009;10 - Protection sociale;Protection sociale;Protection sociale n.c.a.;10.9 - Protection sociale n.c.a.;1995;1,976;FRA;France
D1;Remuneration des salaries;GF01;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux des administrations publiques;01 - Services generaux des administrations publiques;1995;27,637;FRA;France
D1;Remuneration des salaries;GF0101;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Organes executifs et legislatifs, affaires finan., fiscales et etrangeres;01.1 - Fonctionnement des organes executifs et legislatifs, affaires financieres et fiscales, affaires etrangeres;1995;8,192;FRA;France
D1;Remuneration des salaries;GF0102;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Aide economique exterieure;01.2 - Aide economique exterieure;1995;0,141;FRA;France
D1;Remuneration des salaries;GF0103;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux;01.3 - Services generaux;1995;15,793;FRA;France
D1;Remuneration des salaries;GF0104;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Recherche fondamentale;01.4 - Recherche fondamentale;1995;3,171;FRA;France
D1;Remuneration des salaries;GF0105;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;RetD concernant des services generaux des administrations publiques;01.5 - R & D concernant les services generaux des administrations publiques;1995;0;FRA;France
D1;Remuneration des salaries;GF0106;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux des administrations publiques n.c.a.;01.6 - Services generaux des administrations publiques n.c.a.;1995;0,34;FRA;France
D1;Remuneration des salaries;GF0108;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Transferts de caractere general entre administrations publiques;01.8 - Transferts de caractere general entre administrations publiques;1995;0;FRA;France
D1;Remuneration des salaries;GF02;02 - Defense;Defense;Defense nationale;02 - Defense;1995;13,199;FRA;France
D1;Remuneration des salaries;GF0201;02 - Defense;Defense;Defense militaire;02.1 - Defense militaire;1995;11,232;FRA;France
D1;Remuneration des salaries;GF0202;02 - Defense;Defense;Defense civile;02.2 - Defense civile;1995;0,212;FRA;France
D1;Remuneration des salaries;GF0203;02 - Defense;Defense;Aide militaire a des pays etrangers;02.3 - Aide militaire a des pays etrangers;1995;0,53;FRA;France
D1;Remuneration des salaries;GF0204;02 - Defense;Defense;R et D concernant la defense;02.4 - R-D concernant la defense;1995;0,789;FRA;France
D1;Remuneration des salaries;GF0205;02 - Defense;Defense;Defense n.c.a.;02.5 - Defense n.c.a.;1995;0,435;FRA;France
D1;Remuneration des salaries;GF03;03 - Ordre et securite publics;Ordre et securite publics;Ordre et securite publics;03 - Ordre et securite publics;1995;12,882;FRA;France
D1;Remuneration des salaries;GF0301;03 - Ordre et securite publics;Ordre et securite publics;Services de police;03.1 - Services de police;1995;9,006;FRA;France
D1;Remuneration des salaries;GF0302;03 - Ordre et securite publics;Ordre et securite publics;Services de protection civile;03.2 - Services de protection civile;1995;0,973;FRA;France
D1;Remuneration des salaries;GF0303;03 - Ordre et securite publics;Ordre et securite publics;Tribunaux;03.3 - Tribunaux;1995;1,708;FRA;France
D1;Remuneration des salaries;GF0304;03 - Ordre et securite publics;Ordre et securite publics;Administration penitentiaire;03.4 - Administration penitentiaire;1995;0,974;FRA;France
D1;Remuneration des salaries;GF0305;03 - Ordre et securite publics;Ordre et securite publics;RetD concernant l ordre et la securite publics;03.5 - R-D concernant l'ordre et la securite publics;1995;0,001;FRA;France
D1;Remuneration des salaries;GF0306;03 - Ordre et securite publics;Ordre et securite publics;Ordre et securite publics n.c.a.;03.6 - Ordre et securite publics n.c.a.;1995;0,22;FRA;France
D1;Remuneration des salaries;GF04;04 - Affaires economiques;Affaires economiques;Affaires economiques;04 - Affaires economiques;1995;10,928;FRA;France
D1;Remuneration des salaries;GF0401;04 - Affaires economiques;Affaires economiques;Tutelle de l economie generale, des echanges et de l emploi;04.1 - Tutelle de l'economie generale, des echanges et de l'emploi;1995;1,526;FRA;France
D1;Remuneration des salaries;GF0402;04 - Affaires economiques;Affaires economiques;Agriculture, sylviculture, peche et chasse;04.2 - Agriculture, sylviculture, peche et chasse;1995;2,311;FRA;France
D1;Remuneration des salaries;GF0403;04 - Affaires economiques;Affaires economiques;Combustibles et energie;04.3 - Combustibles et energie;1995;0,138;FRA;France
D1;Remuneration des salaries;GF0404;04 - Affaires economiques;Affaires economiques;Industries extractives et manufacturieres, construction;04.4 - Industries extractives et manufacturieres, construction;1995;0,098;FRA;France
D1;Remuneration des salaries;GF0405;04 - Affaires economiques;Affaires economiques;Transports;04.5 - Transports;1995;4,052;FRA;France
D1;Remuneration des salaries;GF0406;04 - Affaires economiques;Affaires economiques;Communications;04.6 - Communications;1995;0;FRA;France
D1;Remuneration des salaries;GF0407;04 - Affaires economiques;Affaires economiques;Autres branches d activite;04.7 - Autres branches d'activite;1995;0,87;FRA;France
D1;Remuneration des salaries;GF0408;04 - Affaires economiques;Affaires economiques;RetD concernant les affaires economiques;04.8 - R-D concernant les affaires economiques;1995;1,423;FRA;France
D1;Remuneration des salaries;GF0409;04 - Affaires economiques;Affaires economiques;Affaires economiques n.c.a.;04.9 - Affaires economiques n.c.a.;1995;0,51;FRA;France
D1;Remuneration des salaries;GF05;05 - Protection de l environnement;Protection de l environnement;Protection de l environnement;05 - Protection de l'environnement;1995;1,16;FRA;France
D1;Remuneration des salaries;GF0501;05 - Protection de l environnement;Protection de l environnement;Gestion des dechets;05.1 - Gestion des dechets;1995;0,34;FRA;France
D1;Remuneration des salaries;GF0502;05 - Protection de l environnement;Protection de l environnement;Gestion des eaux usees;05.2 - Gestion des eaux usees;1995;0,067;FRA;France
D1;Remuneration des salaries;GF0503;05 - Protection de l environnement;Protection de l environnement;Lutte contre la pollution;05.3 - Lutte contre la pollution;1995;0,023;FRA;France
D1;Remuneration des salaries;GF0504;05 - Protection de l environnement;Protection de l environnement;Preservation de la diversite biologique et protection de la nature;05.4 - Preservation de la diversite biologique et protection de la nature;1995;0,065;FRA;France
D1;Remuneration des salaries;GF0505;05 - Protection de l environnement;Protection de l environnement;RetD dans le domaine de la protection de l environnement;05.5 - R-D dans le domaine de la protection de l'environnement;1995;0,019;FRA;France
D1;Remuneration des salaries;GF0506;05 - Protection de l environnement;Protection de l environnement;Protection de l environnement n.c.a.;05.6 - Protection de l'environnement n.c.a.;1995;0,648;FRA;France
D1;Remuneration des salaries;GF06;06 - Logements et equipements collectifs;Logements et equipements collectifs;Logement et developpement collectif;06 - Logements et equipements collectifs;1995;1,722;FRA;France
D1;Remuneration des salaries;GF0601;06 - Logements et equipements collectifs;Logements et equipements collectifs;Logements;06.1 - Logements;1995;0,415;FRA;France
D1;Remuneration des salaries;GF0602;06 - Logements et equipements collectifs;Logements et equipements collectifs;equipements collectifs;06.2 - Equipements collectifs;1995;1,156;FRA;France
D1;Remuneration des salaries;GF0603;06 - Logements et equipements collectifs;Logements et equipements collectifs;Alimentation en eau;06.3 - Alimentation en eau;1995;0,051;FRA;France
D1;Remuneration des salaries;GF0604;06 - Logements et equipements collectifs;Logements et equipements collectifs;eclairage public;06.4 - Eclairage public;1995;0,016;FRA;France
D1;Remuneration des salaries;GF0606;06 - Logements et equipements collectifs;Logements et equipements collectifs;Logement et equipements collectifs n.c.a.;06.6 - Logement et equipements collectifs n.c.a.;1995;0,085;FRA;France
D1;Remuneration des salaries;GF07;07 - Sante;Sante;Sante;07 - Sante;1995;27,903;FRA;France
D1;Remuneration des salaries;GF0703;07 - Sante;Sante;Services hospitaliers;07.3 - Services hospitaliers;1995;25,484;FRA;France
D1;Remuneration des salaries;GF0704;07 - Sante;Sante;Services de sante publique;07.4 - Services de sante publique;1995;0,83;FRA;France
D1;Remuneration des salaries;GF0705;07 - Sante;Sante;RetD dans le domaine de la sante;07.5 - R-D dans le domaine de la sante;1995;1,056;FRA;France
D1;Remuneration des salaries;GF0706;07 - Sante;Sante;Sante n.c.a.;07.6 - Sante n.c.a.;1995;0,532;FRA;France
D1;Remuneration des salaries;GF08;08 - Loisirs, culture et culte;Loisirs, culture et culte;Loisirs, culture et cultes;08 - Loisirs, culture et culte;1995;3,651;FRA;France
D1;Remuneration des salaries;GF0801;08 - Loisirs, culture et culte;Loisirs, culture et culte;Services recreatifs et sportifs;08.1 - Services recreatifs et sportifs;1995;0,762;FRA;France
D1;Remuneration des salaries;GF0802;08 - Loisirs, culture et culte;Loisirs, culture et culte;Services culturels;08.2 - Services culturels;1995;1,852;FRA;France
D1;Remuneration des salaries;GF0803;08 - Loisirs, culture et culte;Loisirs, culture et culte;Services de radiodiffusion, de television et d edition;08.3 - Services de radiodiffusion, de television et d'edition;1995;1,029;FRA;France
D1;Remuneration des salaries;GF0804;08 - Loisirs, culture et culte;Loisirs, culture et culte;Culte et autres services communautaires;08.4 - Culte et autres services communautaires;1995;0,009;FRA;France
D1;Remuneration des salaries;GF0806;08 - Loisirs, culture et culte;Loisirs, culture et culte;Loisirs, culture et culte n.c.a.;08.6 - Loisirs, culture et culte n.c.a.;1995;0;FRA;France
D1;Remuneration des salaries;GF09;09 - Enseignement;Enseignement;Enseignement;09 - Enseignement;1995;51,181;FRA;France
D1;Remuneration des salaries;GF0901;09 - Enseignement;Enseignement;Enseignement preelementaire et primaire;09.1 - Enseignement preelementaire et primaire;1995;15,598;FRA;France
D1;Remuneration des salaries;GF0902;09 - Enseignement;Enseignement;Enseignement secondaire;09.2 - Enseignement secondaire;1995;27,41;FRA;France
D1;Remuneration des salaries;GF0903;09 - Enseignement;Enseignement;Enseignement postsecondaire non superieur;09.3 - Enseignement postsecondaire non superieur;1995;0,218;FRA;France
D1;Remuneration des salaries;GF0904;09 - Enseignement;Enseignement;Enseignement superieur;09.4 - Enseignement superieur;1995;3,351;FRA;France
D1;Remuneration des salaries;GF0905;09 - Enseignement;Enseignement;Enseignement non defini par niveau;09.5 - Enseignement non defini par niveau;1995;0,874;FRA;France
D1;Remuneration des salaries;GF0906;09 - Enseignement;Enseignement;Services annexes a l enseignement;09.6 - Services annexes a l'enseignement;1995;2,799;FRA;France
D1;Remuneration des salaries;GF0907;09 - Enseignement;Enseignement;RetD dans le domaine de l enseignement;09.7 - R-D dans le domaine de l'enseignement;1995;0;FRA;France
D1;Remuneration des salaries;GF0908;09 - Enseignement;Enseignement;Enseignement n.c.a.;09.8 - Enseignement n.c.a.;1995;0,93;FRA;France
D1;Remuneration des salaries;GF10;10 - Protection sociale;Protection sociale;Securite sociale et oeuvres sociales;10 - Protection sociale;1995;13,826;FRA;France
D1;Remuneration des salaries;GF1001;10 - Protection sociale;Protection sociale;Maladie et invalidite;10.1 - Maladie et invalidite;1995;3,195;FRA;France
D1;Remuneration des salaries;GF1002;10 - Protection sociale;Protection sociale;Vieillesse;10.2 - Vieillesse;1995;5,601;FRA;France
D1;Remuneration des salaries;GF1003;10 - Protection sociale;Protection sociale;Survivants;10.3 - Survivants;1995;0,046;FRA;France
D1;Remuneration des salaries;GF1004;10 - Protection sociale;Protection sociale;Famille et enfants;10.4 - Famille et enfants;1995;2,221;FRA;France
D1;Remuneration des salaries;GF1005;10 - Protection sociale;Protection sociale;Chomage;10.5 - Chomage;1995;0,988;FRA;France
D1;Remuneration des salaries;GF1006;10 - Protection sociale;Protection sociale;Logement;10.6 - Logement;1995;0;FRA;France
D1;Remuneration des salaries;GF1007;10 - Protection sociale;Protection sociale;Exclusion sociale n.c.a.;10.7 - Exclusion sociale n.c.a.;1995;0,769;FRA;France
D1;Remuneration des salaries;GF1009;10 - Protection sociale;Protection sociale;Protection sociale n.c.a.;10.9 - Protection sociale n.c.a.;1995;1,007;FRA;France
P2;Consommation intermediaire;GF01;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux des administrations publiques;01 - Services generaux des administrations publiques;1995;10,356;FRA;France
P2;Consommation intermediaire;GF0101;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Organes executifs et legislatifs, affaires finan., fiscales et etrangeres;01.1 - Fonctionnement des organes executifs et legislatifs, affaires financieres et fiscales, affaires etrangeres;1995;3,194;FRA;France
P2;Consommation intermediaire;GF0102;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Aide economique exterieure;01.2 - Aide economique exterieure;1995;0,318;FRA;France
P2;Consommation intermediaire;GF0103;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux;01.3 - Services generaux;1995;3,773;FRA;France
P2;Consommation intermediaire;GF0104;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Recherche fondamentale;01.4 - Recherche fondamentale;1995;1,001;FRA;France
P2;Consommation intermediaire;GF0106;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux des administrations publiques n.c.a.;01.6 - Services generaux des administrations publiques n.c.a.;1995;0,128;FRA;France
P2;Consommation intermediaire;GF0107;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Operations concernant la dette publique;01.7 - Operations concernant la dette publique;1995;1,942;FRA;France
P2;Consommation intermediaire;GF02;02 - Defense;Defense;Defense nationale;02 - Defense;1995;8,931;FRA;France
P2;Consommation intermediaire;GF0201;02 - Defense;Defense;Defense militaire;02.1 - Defense militaire;1995;7,553;FRA;France
P2;Consommation intermediaire;GF0202;02 - Defense;Defense;Defense civile;02.2 - Defense civile;1995;0,031;FRA;France
P2;Consommation intermediaire;GF0203;02 - Defense;Defense;Aide militaire a des pays etrangers;02.3 - Aide militaire a des pays etrangers;1995;0,21;FRA;France
P2;Consommation intermediaire;GF0204;02 - Defense;Defense;R et D concernant la defense;02.4 - R-D concernant la defense;1995;0,803;FRA;France
P2;Consommation intermediaire;GF0205;02 - Defense;Defense;Defense n.c.a.;02.5 - Defense n.c.a.;1995;0,334;FRA;France
P2;Consommation intermediaire;GF03;03 - Ordre et securite publics;Ordre et securite publics;Ordre et securite publics;03 - Ordre et securite publics;1995;3,265;FRA;France
P2;Consommation intermediaire;GF0301;03 - Ordre et securite publics;Ordre et securite publics;Services de police;03.1 - Services de police;1995;1,402;FRA;France
P2;Consommation intermediaire;GF0302;03 - Ordre et securite publics;Ordre et securite publics;Services de protection civile;03.2 - Services de protection civile;1995;0,296;FRA;France
P2;Consommation intermediaire;GF0303;03 - Ordre et securite publics;Ordre et securite publics;Tribunaux;03.3 - Tribunaux;1995;1,009;FRA;France
