annee;cde_pays;pays;cde_unite;unite;valeur_mesuree
2018;SVK;Republique slovaque;XDC;Monnaie nationale;49657,2
2019;SVK;Republique slovaque;PT_B1GQ;Pourcentage du PIB;53,6
2019;SVK;Republique slovaque;XDC;Monnaie nationale;50661,9
2020;SVK;Republique slovaque;PT_B1GQ;Pourcentage du PIB;64,6
2020;SVK;Republique slovaque;XDC;Monnaie nationale;60901
2021;SVK;Republique slovaque;PT_B1GQ;Pourcentage du PIB;65,9
2021;SVK;Republique slovaque;XDC;Monnaie nationale;67132,5
2022;SVK;Republique slovaque;PT_B1GQ;Pourcentage du PIB;65,7
2022;SVK;Republique slovaque;XDC;Monnaie nationale;72261,6
2023;SVK;Republique slovaque;XDC;Monnaie nationale;76384,9
2023;SVK;Republique slovaque;PT_B1GQ;Pourcentage du PIB;61,8
2024;SVK;Republique slovaque;XDC;Monnaie nationale;84530,5
2024;SVK;Republique slovaque;PT_B1GQ;Pourcentage du PIB;64,9
2002;GLB;Global (Europe);XDC;Monnaie nationale;5451346,3
2002;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;54,9
2003;GLB;Global (Europe);XDC;Monnaie nationale;5723341
2003;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;57,3
2004;GLB;Global (Europe);XDC;Monnaie nationale;5969382,9
2004;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;58,4
2005;GLB;Global (Europe);XDC;Monnaie nationale;6246461,4
2005;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;60,1
2006;GLB;Global (Europe);XDC;Monnaie nationale;6438080,1
2006;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;59,9
2007;GLB;Global (Europe);XDC;Monnaie nationale;6589288,9
2007;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;59,6
2008;GLB;Global (Europe);XDC;Monnaie nationale;7099918
2008;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;63,9
2009;GLB;Global (Europe);XDC;Monnaie nationale;7837868,6
2009;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;73,8
2010;GLB;Global (Europe);XDC;Monnaie nationale;8607776,2
2010;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;79,4
2011;GLB;Global (Europe);XDC;Monnaie nationale;9074488,3
2011;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;82,2
2012;GLB;Global (Europe);XDC;Monnaie nationale;9561387,2
2012;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;87,4
2013;GLB;Global (Europe);XDC;Monnaie nationale;9908046,5
2013;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;90,7
2014;GLB;Global (Europe);XDC;Monnaie nationale;10173258,6
2014;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;91,8
2015;GLB;Global (Europe);XDC;Monnaie nationale;10319551,5
2015;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;91,1
2016;GLB;Global (Europe);XDC;Monnaie nationale;10478589,4
2016;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;90,9
2017;GLB;Global (Europe);XDC;Monnaie nationale;10622095,2
2017;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;89,9
2018;GLB;Global (Europe);XDC;Monnaie nationale;10745408,6
2018;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;89,3
2019;GLB;Global (Europe);XDC;Monnaie nationale;10800339,3
2019;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;88,4
2020;GLB;Global (Europe);XDC;Monnaie nationale;11887052,9
2020;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;103,5
2021;GLB;Global (Europe);XDC;Monnaie nationale;12562953,3
2021;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;102,9
2022;GLB;Global (Europe);XDC;Monnaie nationale;13040083,5
2022;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;103,0
2023;GLB;Global (Europe);XDC;Monnaie nationale;13506956,6
2023;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;106,4
2024;GLB;Global (Europe);XDC;Monnaie nationale;14002913,5
2024;GLB;Global (Europe);PT_B1GQ;Pourcentage du PIB;109,3
